,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
158,MUR,Murphy Oil Corporation,,27.10 +1.00 (+3.83%),1.0,+3.83%,2.247M,2.669M,3.953B,9.96,-41.61%,
159,RRX,Regal Rexnord Corporation,,123.31 +4.54 (+3.82%),4.54,+3.82%,838915,598374,8.172B,41.80,-33.15%,
160,LOAR,Loar Holdings Inc.,,66.43 +2.44 (+3.81%),2.44,+3.81%,311885,439755,6.215B,332.15,31.13%,
161,DXCM,"DexCom, Inc.",,73.38 +2.68 (+3.79%),2.68,+3.79%,4.075M,3.804M,28.675B,51.68,-46.65%,
162,NTNX,"Nutanix, Inc.",,72.84 +2.66 (+3.79%),2.66,+3.79%,1.969M,2.344M,19.424B,-,11.80%,
163,RBLX,Roblox Corporation,,58.10 +2.12 (+3.79%),2.12,+3.79%,5.482M,8.791M,38.77B,-,48.02%,
164,REZI,"Resideo Technologies, Inc.",,18.09 +0.66 (+3.79%),0.66,+3.79%,692202,1.027M,2.675B,29.66,-23.72%,
165,NRG,"NRG Energy, Inc.",,98.26 +3.58 (+3.78%),3.58,+3.78%,1.796M,3.272M,19.462B,19.69,41.02%,
166,TWLO,Twilio Inc.,,103.00 +3.74 (+3.77%),3.74,+3.77%,1.624M,3.486M,15.721B,-,60.33%,
167,ZETA,Zeta Global Holdings Corp.,,14.38 +0.52 (+3.75%),0.52,+3.75%,3.022M,6.36M,3.418B,-,23.53%,
168,PRKS,United Parks & Resorts Inc.,,48.97 +1.77 (+3.75%),1.77,+3.75%,810156,903184,2.695B,12.92,-13.11%,
169,ALNY,"Alnylam Pharmaceuticals, Inc.",,253.44 +9.14 (+3.74%),9.14,+3.74%,939238,687829,32.81B,-,65.08%,
170,LUV,Southwest Airlines Co.,,33.60 +1.21 (+3.74%),1.21,+3.74%,10.204M,9.881M,19.913B,44.21,12.31%,
171,MARA,"MARA Holdings, Inc.",,12.53 +0.46 (+3.81%),0.46,+3.81%,34.741M,38.195M,4.333B,7.28,-46.19%,
172,TLN,Talen Energy Corporation,,210.30 +7.56 (+3.73%),7.56,+3.73%,1.038M,1.262M,9.666B,11.89,133.44%,
173,ATGE,Adtalem Global Education Inc.,,99.45 +3.57 (+3.72%),3.57,+3.72%,211909,447900,3.706B,18.94,93.35%,
174,GPOR,Gulfport Energy Corporation,,186.39 +6.69 (+3.72%),6.69,+3.72%,222298,270263,3.335B,-,14.21%,
175,MNSO,MINISO Group Holding Limited,,21.79 +0.78 (+3.71%),0.78,+3.71%,1.078M,1.048M,7.007B,22.01,-0.90%,
176,HRI,Herc Holdings Inc.,,132.71 +4.74 (+3.70%),4.74,+3.70%,499369,460550,3.776B,17.93,-21.75%,
177,AAL,American Airlines Group Inc.,,11.48 +0.41 (+3.70%),0.41,+3.70%,66.805M,40.699M,7.549B,9.26,-24.02%,
178,RH,RH,,230.04 +8.20 (+3.70%),8.2,+3.70%,1.215M,666027,4.279B,63.55,-23.52%,
179,WING,Wingstop Inc.,,214.65 +7.65 (+3.70%),7.65,+3.70%,595560,775150,6.152B,57.86,-40.56%,
180,TTMI,"TTM Technologies, Inc.",,22.61 +0.80 (+3.67%),0.8,+3.67%,477869,703043,2.298B,41.87,54.03%,
181,NTDOY,"Nintendo Co., Ltd.",,17.85 +0.63 (+3.66%),0.63,+3.66%,201239,2.168M,83.127B,38.80,23.92%,
182,AVGO,Broadcom Inc.,,195.57 +6.90 (+3.66%),6.9,+3.66%,37.406M,31.831M,919.56B,90.96,47.86%,
183,MTZ,"MasTec, Inc.",,125.97 +4.44 (+3.65%),4.44,+3.65%,637424,1.113M,9.988B,60.86,40.53%,
184,VCTR,"Victory Capital Holdings, Inc.",,61.04 +2.15 (+3.65%),2.15,+3.65%,293283,307048,3.886B,13.94,42.42%,
185,BN,Brookfield Corporation,,54.06 +1.90 (+3.64%),1.9,+3.64%,3.23M,2.55M,88.507B,174.39,23.81%,
186,BWXT,"BWX Technologies, Inc.",,102.54 +3.58 (+3.62%),3.58,+3.62%,1.261M,958186,9.381B,33.40,-1.62%,
187,ACVA,ACV Auctions Inc.,,14.61 +0.51 (+3.62%),0.51,+3.62%,3.252M,1.895M,2.602B,-,-25.44%,
188,ANF,Abercrombie & Fitch Co.,,82.58 +2.88 (+3.61%),2.88,+3.61%,1.898M,2.338M,4.16B,7.72,-40.98%,
189,TPR,"Tapestry, Inc.",,73.50 +2.53 (+3.56%),2.53,+3.56%,6.497M,5.199M,15.216B,21.37,49.73%,
190,SNAP,Snap Inc.,,9.04 +0.31 (+3.55%),0.31,+3.55%,23.182M,28.175M,15.335B,-,-22.05%,
191,FUN,Six Flags Entertainment Corporation,,37.22 +1.27 (+3.53%),1.27,+3.53%,989937,1.366M,3.736B,-,-15.09%,
192,BRPHF,Galaxy Digital Holdings Ltd.,,12.34 +0.42 (+3.52%),0.42,+3.52%,25422,184367,4.227B,3.77,19.13%,
